elapsed, window, total, successful, failed
10.000041, 10.000041, 10260, 10260, 0
20.001058, 10.001017, 9215, 9215, 0
30.000047, 9.998989, 3378, 3378, 0
40.001117, 10.00107, 1882, 1882, 0
50.000208, 9.999091, 3551, 3551, 0
60.000035, 9.999827, 2933, 2933, 0
70.000063, 10.000028, 802, 802, 0
80.00004, 9.999977, 572, 572, 0
90.000035, 9.999995, 2223, 2223, 0
100.000036, 10.000001, 1089, 1089, 0
110.000027, 9.999991, 2715, 2715, 0
120.000047, 10.00002, 2404, 2404, 0
130.000066, 10.000019, 1159, 1159, 0
140.000246, 10.00018, 2839, 2839, 0
150.000038, 9.999792, 2844, 2844, 0
160.001047, 10.001009, 894, 894, 0
170.000097, 9.99905, 2471, 2471, 0
180.000052, 9.999955, 3682, 3682, 0
190.000057, 10.000005, 742, 742, 0
200.000035, 9.999978, 1558, 1558, 0
210.000032, 9.999997, 2055, 2055, 0
220.000122, 10.00009, 1435, 1435, 0
230.000038, 9.999916, 2714, 2714, 0
240.001054, 10.001016, 1575, 1575, 0
250.001086, 10.000032, 2736, 2736, 0
260.000042, 9.998956, 963, 963, 0
270.000031, 9.999989, 1834, 1834, 0
280.000029, 9.999998, 3278, 3278, 0
290.000034, 10.000005, 3249, 3249, 0
300.000101, 10.000067, 3225, 3225, 0
310.000111, 10.00001, 2355, 2355, 0
320.000033, 9.999922, 2178, 2178, 0
330.000073, 10.00004, 2739, 2739, 0
340.000032, 9.999959, 3500, 3500, 0
350.000041, 10.000009, 3659, 3659, 0
360.001042, 10.001001, 3065, 3065, 0
370.00003, 9.998988, 2859, 2859, 0
380.00003, 10.0, 3993, 3993, 0
390.000033, 10.000003, 3608, 3608, 0
400.001033, 10.001, 3138, 3138, 0
410.000069, 9.999036, 2266, 2266, 0
420.000034, 9.999965, 3864, 3864, 0
430.000037, 10.000003, 3197, 3197, 0
440.000096, 10.000059, 4895, 4895, 0
450.00003, 9.999934, 2491, 2491, 0
460.000034, 10.000004, 3548, 3548, 0
470.000064, 10.00003, 2025, 2025, 0
480.000045, 9.999981, 2837, 2837, 0
490.000035, 9.99999, 2944, 2944, 0
500.000036, 10.000001, 2524, 2524, 0
510.000033, 9.999997, 3160, 3160, 0
520.000033, 10.0, 1833, 1833, 0
530.000034, 10.000001, 2507, 2507, 0
540.000042, 10.000008, 2405, 2405, 0
550.000041, 9.999999, 3249, 3249, 0
560.000034, 9.999993, 2026, 2026, 0
570.000035, 10.000001, 1789, 1789, 0
580.000035, 10.0, 3478, 3478, 0
590.000041, 10.000006, 2132, 2132, 0
600.000035, 9.999994, 2557, 2557, 0
610.000047, 10.000012, 3515, 3515, 0
620.00004, 9.999993, 3089, 3089, 0
630.00003, 9.99999, 2672, 2672, 0
640.000033, 10.000003, 3116, 3116, 0
650.001026, 10.000993, 3221, 3221, 0
660.001036, 10.00001, 3109, 3109, 0
670.001035, 9.999999, 2866, 2866, 0
680.001033, 9.999998, 1605, 1605, 0
690.000052, 9.999019, 1925, 1925, 0
